City Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
ponta do sol,32.6667,-17.1,61.43,11.05,32,81,PT,1650919384
nova prata,-28.7839,-51.61,76.59,2.93,93,83,BR,1650919384
verkhnedneprovskiy,54.9813,33.3457,45.5,3.91,99,93,RU,1650919384
bambous virieux,-20.3428,57.7575,73.65,12.66,40,88,MU,1650919385
hithadhoo,-0.6,73.0833,83.52,6.89,80,74,MV,1650919385
sulangan,11.1373,123.7228,82.45,10.65,98,80,PH,1650919386
tasiilaq,65.6145,-37.6368,33.96,8.41,100,96,GL,1650919386
ushuaia,-54.8,-68.3,40.62,2.28,100,92,AR,1650919179
new norfolk,-42.7826,147.0587,48.2,2.3,88,88,AU,1650919387
butaritari,3.0707,172.7902,79.81,13.56,35,83,KI,1650919387
kapaa,22.0752,-159.319,76.8,18.41,100,78,US,1650919388
vangaindrano,-23.35,47.6,72.79,4.36,99,86,MG,1650919388
port elizabeth,-33.918,25.5701,58.8,11.5,0,85,ZA,1650919389
opelousas,30.5335,-92.0815,85.86,8.9,27,47,US,1650919106
navahrudak,53.6,25.8333,42.55,4.74,86,92,BY,1650919389
mahebourg,-20.4081,57.7,73.69,12.66,40,88,MU,1650919389
aberdeen,57.1437,-2.0981,45.07,6.91,100,84,GB,1650919150
ayr,55.4627,-4.6339,49.5,6.91,20,66,GB,1650919225
thompson,55.7435,-97.8558,24.96,9.22,40,36,CA,1650919391
busselton,-33.65,115.3333,61.81,17.09,97,66,AU,1650919391
half moon bay,37.4636,-122.4286,65.62,18.41,40,65,US,1650919392
albany,42.6001,-73.9662,66.87,5.01,100,36,US,1650919292
tiksi,71.6872,128.8694,-4.4,2.71,98,100,RU,1650919392
tuatapere,-46.1333,167.6833,44.56,5.06,35,82,NZ,1650919392
dunedin,-45.8742,170.5036,51.8,11.01,30,59,NZ,1650919393
hobart,-42.8794,147.3294,47.26,8.05,20,92,AU,1650919298
longyearbyen,78.2186,15.6401,3.04,13.8,75,60,SJ,1650919393
sontra,51.0667,9.9333,46.38,4.21,69,91,DE,1650919394
bandarban,22.1965,92.2262,75.4,1.74,48,95,BD,1650919394
kaitangata,-46.2817,169.8464,50.4,14.07,59,67,NZ,1650919395
zhigansk,66.7697,123.3711,4.46,3.38,95,97,RU,1650919395
tilichiki,60.4667,166.1,25.79,11.27,100,91,RU,1650919141
bredasdorp,-34.5322,20.0403,54.95,3.18,0,75,ZA,1650919396
tailai,46.3833,123.4,42.44,18.37,14,52,CN,1650919396
puerto ayora,-0.7393,-90.3518,76.96,11.14,86,78,EC,1650919397
abu samrah,35.3029,37.1841,69.13,4.27,6,44,SY,1650919397
praia,14.9215,-23.5087,77.54,24.16,0,47,CV,1650919397
romilly-sur-seine,48.5108,3.7263,43.41,4.88,7,85,FR,1650919398
nikolskoye,59.7035,30.7861,40.89,5.06,100,97,RU,1650919399
te anau,-45.4167,167.7167,42.39,0.83,9,85,NZ,1650919399
jamestown,42.097,-79.2353,80.24,17.27,40,44,US,1650919350
carnarvon,-24.8667,113.6333,71.67,6.91,0,78,AU,1650919400
derzhavinsk,51.1,66.3167,48.96,6.85,7,36,KZ,1650919400
russell,32.3502,-85.1999,83.16,5.5,56,46,US,1650919386
chokurdakh,70.6333,147.9167,6.04,4.72,93,94,RU,1650919401
komsomolskiy,40.4272,71.7189,61.52,2.3,68,72,UZ,1650919401
cherskiy,68.75,161.3,26.44,3.29,100,70,RU,1650919401
sao felix do xingu,-6.6447,-51.995,80.1,4.12,43,76,BR,1650919402
punta arenas,-53.15,-70.9167,44.42,14.97,40,65,CL,1650919403
petropavlovsk-kamchatskiy,53.0452,158.6483,32.59,2.24,75,75,RU,1650919403
atuona,-9.8,-139.0333,78.28,16.06,24,79,PF,1650919404
esperance,-33.8667,121.9,69.64,23.06,100,40,AU,1650919404
mataura,-46.1927,168.8643,51.48,6.58,70,82,NZ,1650919405
khatanga,71.9667,102.5,-9.0,5.12,100,100,RU,1650919405
oksfjord,70.2396,22.3479,26.82,13.29,100,87,NO,1650919405
avarua,-21.2078,-159.775,82.45,9.22,100,78,CK,1650919400
takoradi,4.8845,-1.7554,79.92,6.13,16,87,GH,1650919406
