City Name,Latitude,Longitude,Temerature,Wind Speed,Clouds,Humidity,Country,Date
zambezi,-13.5432,23.1047,67.73,3.4,96,76,ZM,1650759878
staraya kulatka,52.7167,47.6167,44.53,0.25,84,85,RU,1650759879
chuy,-33.6971,-53.4616,55.24,9.46,0,64,UY,1650759879
dunedin,-45.8742,170.5036,56.8,11.01,88,65,NZ,1650759879
jamestown,42.097,-79.2353,68.86,0.0,0,43,US,1650759833
albany,42.6001,-73.9662,50.11,4.72,100,42,US,1650759772
thompson,55.7435,-97.8558,44.76,17.27,40,36,CA,1650759880
bambous virieux,-20.3428,57.7575,73.65,16.11,75,73,MU,1650759881
kamenka,51.3223,42.7678,48.29,4.0,78,66,RU,1650759881
vaini,-21.2,-175.2,82.56,4.61,75,74,TO,1650759882
saskylakh,71.9167,114.0833,0.97,4.61,86,96,RU,1650759882
fortuna,40.5982,-124.1573,57.06,11.5,0,78,US,1650759882
srednekolymsk,67.45,153.6833,17.26,2.62,99,83,RU,1650759883
le port,-20.9373,55.2919,72.01,8.97,66,65,RE,1650759884
ushuaia,-54.8,-68.3,42.46,11.5,40,75,AR,1650759656
rikitea,-23.1203,-134.9692,75.42,15.05,100,77,PF,1650759884
bredasdorp,-34.5322,20.0403,57.94,5.53,98,66,ZA,1650759885
esperance,-33.8667,121.9,57.04,7.7,18,79,AU,1650759885
severo-kurilsk,50.6789,156.125,34.93,9.35,100,98,RU,1650759886
arman,59.7,150.1667,35.02,5.41,100,62,RU,1650759886
nybro,56.7446,15.9071,41.7,11.45,89,85,SE,1650759849
qaanaaq,77.484,-69.3632,-2.51,5.55,14,81,GL,1650759887
mataura,-46.1927,168.8643,52.48,8.55,100,95,NZ,1650759887
tiksi,71.6872,128.8694,6.89,2.59,100,94,RU,1650759888
victoria,22.2855,114.1577,79.63,5.99,15,86,HK,1650759831
caravelas,-17.7125,-39.2481,77.65,7.09,16,91,BR,1650759888
usogorsk,63.4106,48.6872,33.64,2.3,100,100,RU,1650759888
punta arenas,-53.15,-70.9167,42.91,11.5,100,93,CL,1650759843
belyy yar,53.6039,91.3903,25.86,0.0,0,65,RU,1650759889
busselton,-33.65,115.3333,60.19,10.8,32,70,AU,1650759890
sioux lookout,50.1001,-91.917,35.67,9.22,100,100,CA,1650759890
luganville,-15.5333,167.1667,82.87,6.71,87,76,VU,1650759890
salalah,17.0151,54.0924,82.49,3.44,40,78,OM,1650759891
arlit,18.7369,7.3853,85.24,9.51,43,8,NE,1650759891
san andres,12.5847,-81.7006,82.42,12.66,40,78,CO,1650759892
hermanus,-34.4187,19.2345,58.42,4.12,100,64,ZA,1650759892
dikson,73.5069,80.5464,-3.86,9.95,100,100,RU,1650759893
dalby,-27.1833,151.2667,70.99,5.01,42,58,AU,1650759893
avarua,-21.2078,-159.775,78.85,10.36,20,89,CK,1650759894
tuktoyaktuk,69.4541,-133.0374,30.2,8.05,0,69,CA,1650759894
airai,-8.9266,125.4092,68.83,2.75,17,54,TL,1650759895
sitio novo do tocantins,-5.5183,-47.4611,73.35,2.95,100,97,BR,1650759895
kodiak,57.79,-152.4072,42.31,19.57,100,87,US,1650759896
sola,-13.8833,167.55,84.87,4.61,100,79,VU,1650759896
grand gaube,-20.0064,57.6608,73.38,5.01,65,74,MU,1650759896
cabo san lucas,22.8909,-109.9124,79.25,9.46,0,68,MX,1650759842
linxia,35.6003,103.2064,49.39,5.35,100,67,CN,1650759897
hambantota,6.1241,81.1185,75.54,1.14,40,100,LK,1650759898
upernavik,72.7868,-56.1549,9.25,8.32,100,91,GL,1650759898
bluff,-46.6,168.3333,52.81,20.78,94,75,NZ,1650759898
saint-philippe,-21.3585,55.7679,70.32,12.41,67,68,RE,1650759899
port alfred,-33.5906,26.891,63.03,4.47,97,84,ZA,1650759899
cape town,-33.9258,18.4232,55.24,8.05,20,74,ZA,1650759872
faya,18.3851,42.4509,57.72,3.42,44,40,SA,1650759900
cayenne,4.9333,-52.3333,80.1,0.0,0,1,GF,1650759751
